iter	Tweedie:variance_power=1.5
0	269.2543672
1	256.5286806
2	244.4436394
3	232.968796
4	222.0753959
5	211.736139
6	201.9255833
7	192.617572
8	183.7899012
9	175.4202373
10	167.4847349
11	159.9651868
12	152.8442803
13	146.100563
14	139.7197395
15	133.6807728
16	127.9721063
17	122.5757299
18	117.4770097
19	112.664784
20	108.1295278
21	103.8479542
22	99.81443573
23	96.01816781
24	92.44648106
25	89.09123629
26	85.9386829
27	82.99274348
28	80.22111271
29	77.63053847
30	75.20649271
31	72.94733275
32	70.82487644
33	68.84270426
34	67.00123537
35	65.28641813
36	63.70333337
37	62.22450371
38	60.84233898
39	59.56972671
40	58.38718666
41	57.28621245
42	56.28871599
43	55.35536421
44	54.49336815
45	53.69627414
46	52.97929405
47	52.3110673
48	51.68611779
49	51.1038999
50	50.57050747
51	50.08023239
52	49.6339166
53	49.24534948
54	48.86670833
55	48.53675699
56	48.20950529
57	47.91169452
58	47.65602332
59	47.40875728
60	47.19049898
61	47.00136957
62	46.82991415
63	46.66894596
64	46.51120658
65	46.38715703
66	46.25194884
67	46.12461721
68	46.01737251
69	45.9118007
70	45.81344986
71	45.73833992
72	45.65724075
73	45.57866906
74	45.53238947
75	45.46329485
76	45.41689935
77	45.37164155
78	45.32057426
79	45.27140803
80	45.21936879
81	45.18129115
82	45.15432966
83	45.12520925
84	45.091023
85	45.066599
86	45.03448407
87	45.01717648
88	44.99007633
89	44.9567977
90	44.92139266
91	44.89269106
92	44.8852612
93	44.85588527
94	44.83981643
95	44.8215764
96	44.78519447
97	44.77661002
98	44.75976244
99	44.7521791
100	44.72685459
101	44.71139773
102	44.69795188
103	44.69109401
104	44.67386012
105	44.66107109
106	44.63476249
107	44.61017076
108	44.60205332
109	44.58874268
110	44.57074572
111	44.5588033
112	44.55678535
113	44.55167435
114	44.54371854
115	44.53350927
116	44.52425436
117	44.51357042
118	44.50842625
119	44.50433213
120	44.483551
121	44.46396586
122	44.46087712
123	44.45654031
124	44.45385726
125	44.43941211
126	44.41972316
127	44.40567288
128	44.40317271
129	44.38997058
130	44.37782569
131	44.37364024
132	44.35626364
133	44.35121914
134	44.34765646
135	44.34579411
136	44.3436739
137	44.34359898
138	44.33171729
139	44.31912832
140	44.30457412
141	44.29958709
142	44.29131297
143	44.28157113
144	44.27203516
145	44.25525559
146	44.25385731
147	44.24369851
148	44.24067988
149	44.22226861
150	44.22183605
151	44.21074875
152	44.20428767
153	44.19808072
154	44.18913795
155	44.17749712
156	44.16953333
157	44.16031279
158	44.15615929
159	44.14259658
160	44.14042965
161	44.13050478
162	44.12926392
163	44.12740046
164	44.11763137
165	44.1018197
166	44.09945621
167	44.08670857
168	44.08141994
169	44.07603469
170	44.07063238
171	44.06171833
172	44.04130675
173	44.0327322
174	44.01887432
175	44.01718414
176	44.00716348
177	44.00443511
178	44.00271429
179	43.99355358
180	43.99188464
181	43.99113376
182	43.97925076
183	43.9655789
184	43.96446352
185	43.95754451
186	43.94192313
187	43.93614161
188	43.93131481
189	43.92892343
190	43.91477589
191	43.91477557
192	43.91055597
193	43.90944181
194	43.90175808
195	43.89467558
196	43.89311958
197	43.89267323
198	43.8871765
199	43.88544935
200	43.8792672
201	43.86916142
202	43.86597647
203	43.8579677
204	43.84892745
205	43.84222377
206	43.83064971
207	43.83029016
208	43.82847046
209	43.82735137
210	43.820045
211	43.81794983
212	43.80794718
213	43.80685054
214	43.80545574
215	43.79110202
216	43.79052952
217	43.77723084
218	43.76333171
219	43.75876465
220	43.75137951
221	43.74547116
222	43.73343077
223	43.72764885
224	43.71548249
225	43.70243302
226	43.68700853
227	43.67416453
228	43.67088783
229	43.66117949
230	43.65748901
231	43.65314418
232	43.63556693
233	43.62864398
234	43.61817536
235	43.61028858
236	43.60919136
237	43.60841798
238	43.60749703
239	43.59838986
240	43.58990095
241	43.58907947
242	43.58279845
243	43.56978452
244	43.569289
245	43.56295243
246	43.56203952
247	43.55014849
248	43.53653327
249	43.5150044
250	43.51382696
251	43.50612911
252	43.49617913
253	43.49176615
254	43.48467801
255	43.47777152
256	43.46834982
257	43.4570184
258	43.44372351
259	43.43644318
260	43.42491246
261	43.42013945
262	43.40601337
263	43.39783314
264	43.39311265
265	43.38549933
266	43.38392523
267	43.38277107
268	43.37721035
269	43.36478991
270	43.35470707
271	43.3501538
272	43.33880028
273	43.33074018
274	43.32333363
275	43.31340488
276	43.31066611
277	43.30294341
278	43.30148184
279	43.29412295
280	43.28493324
281	43.27973084
