iter	Tweedie:variance_power=1.5
282	43.27250253
283	43.26139253
284	43.24965656
285	43.23948012
286	43.22454601
287	43.21427842
288	43.20636617
289	43.2042431
290	43.1923952
291	43.18321802
292	43.17437579
293	43.16995271
294	43.15665507
295	43.15579934
296	43.1463923
297	43.14058651
298	43.13023287
299	43.12152865
300	43.11751431
301	43.11041469
302	43.10520777
303	43.10424671
304	43.09338504
305	43.08645944
306	43.0813393
307	43.08004071
308	43.07796495
309	43.07000116
310	43.05973882
311	43.0492441
312	43.04245093
313	43.03660264
314	43.03634752
315	43.03371108
316	43.03319915
317	43.02479549
318	43.02325674
319	43.01528106
320	43.01057004
321	43.00053314
322	42.9991043
323	42.99211209
324	42.97350185
325	42.97234777
326	42.96867134
327	42.96318611
328	42.95882961
329	42.94405461
330	42.94115349
331	42.9409244
332	42.93444117
333	42.92717451
334	42.91819617
335	42.91189985
336	42.90573316
337	42.9046917
338	42.89435459
339	42.88684081
340	42.88348542
341	42.87417018
342	42.86727132
343	42.86333561
344	42.85947097
345	42.85429809
346	42.85310859
347	42.84960391
348	42.84001606
349	42.83457559
350	42.83378179
351	42.83153764
352	42.82499488
353	42.81940339
354	42.81054466
355	42.80937769
356	42.8034483
357	42.80166314
358	42.79505927
359	42.7857038
360	42.7756226
361	42.77033135
362	42.76434597
363	42.760255
364	42.75517865
365	42.75162893
366	42.74810887
367	42.74205517
368	42.73825545
369	42.73219224
370	42.72981296
371	42.72230073
372	42.71928588
373	42.71256491
374	42.70746222
375	42.69903534
376	42.69800138
377	42.69058315
378	42.68449333
379	42.67448963
380	42.66577812
381	42.66070846
382	42.65976137
383	42.6565012
384	42.65121163
385	42.64565233
386	42.63797646
387	42.63497875
388	42.63255925
389	42.62726391
390	42.62500317
391	42.62282134
392	42.61960032
393	42.61875528
394	42.6156037
395	42.60959331
396	42.6064968
397	42.6017338
398	42.60099346
399	42.59647912
400	42.59353364
401	42.58580208
402	42.57846334
403	42.57551483
404	42.5704293
405	42.5702074
406	42.5654114
407	42.55698432
408	42.55108353
409	42.54221736
410	42.54087177
411	42.53499967
412	42.52620307
413	42.52383739
414	42.51993925
415	42.51527237
416	42.5110834
417	42.50420987
418	42.50151999
419	42.49874767
420	42.48735157
421	42.48307581
422	42.47404848
423	42.47388754
424	42.47140992
425	42.46638674
426	42.46116732
427	42.45904386
428	42.45477766
429	42.45228143
430	42.44807397
431	42.44272569
432	42.43604669
433	42.43531057
434	42.42673793
435	42.42051024
436	42.41796054
437	42.41119571
438	42.4008654
439	42.39270671
440	42.39029032
441	42.38454625
442	42.37853084
443	42.37670025
444	42.37582846
445	42.36882325
446	42.36551764
447	42.36533174
448	42.36222762
449	42.35603167
450	42.35085087
451	42.34383914
452	42.33943051
453	42.33586511
454	42.32820067
455	42.31663398
456	42.31064675
457	42.31049937
458	42.30403949
459	42.30033906
460	42.29469415
461	42.29349892
462	42.29206657
463	42.28930594
464	42.28743386
465	42.27272089
466	42.26931452
467	42.2686128
468	42.2588391
469	42.25774
470	42.25502443
471	42.24907378
472	42.24799451
473	42.24288176
474	42.2403499
475	42.23881816
476	42.23313591
477	42.22748719
478	42.22060377
479	42.21742061
480	42.21441824
481	42.20858333
482	42.20565275
483	42.20422536
484	42.19950315
485	42.19569661
486	42.18896173
487	42.18663671
488	42.18447664
489	42.17851032
490	42.16985978
491	42.15947266
492	42.1566329
493	42.1530667
494	42.14917584
495	42.14496767
496	42.14356887
497	42.13845533
498	42.13265669
499	42.1254801
500	42.12418071
501	42.11453103
502	42.10901912
503	42.10353675
504	42.09739797
505	42.09610622
506	42.09128508
507	42.08612594
508	42.08122879
509	42.07947451
510	42.07611623
511	42.07482967
512	42.07388227
513	42.06653887
514	42.06301098
515	42.06035516
516	42.05535083
517	42.04992469
518	42.04546774
519	42.04036442
520	42.03139838
521	42.02307487
522	42.01491977
523	42.0093793
524	42.00099574
525	41.99651551
526	41.99524417
527	41.99403197
528	41.99287815
529	41.98775233
530	41.98491318
531	41.98285984
532	41.97402091
533	41.96533218
534	41.9618465
535	41.95786186
536	41.94813671
537	41.94394939
538	41.93930661
539	41.93872033
540	41.93102851
541	41.92804597
542	41.92507016
543	41.91712542
544	41.91556809
545	41.90666134
546	41.90221075
547	41.89920595
548	41.89303379
549	41.88786032
550	41.88724537
551	41.88264378
552	41.88120629
553	41.88007322
554	41.8753048
555	41.87136933
556	41.86979969
557	41.86298378
558	41.85700741
559	41.85425189
560	41.85057505
561	41.84585645
562	41.8443462
563	41.83981543
564	41.83581623
565	41.83398032
566	41.82599855
567	41.8256342
568	41.82388594
569	41.82326837
570	41.82181078
571	41.81938392
572	41.8148718
573	41.80709221
574	41.80380526
575	41.8007388
576	41.79709007
577	41.79475631
578	41.79183617
579	41.78642084
580	41.77464485
581	41.76737644
582	41.7644287
583	41.76262956
584	41.75845049
585	41.75502555
586	41.7520316
587	41.74859241
588	41.74726426
589	41.7466913
590	41.73964981
591	41.7367334
592	41.73213314
593	41.72792771
594	41.72670452
595	41.72298724
596	41.72160347
597	41.7143389
598	41.7092823
599	41.70380951
